基本信息,现价,原价,时间,里程,年份,排量
领克01 2017款 2.0T 两驱型版,13.40万,18.00万,2018年,2.6万公里,2017款,2.0T
大众 捷达 2017款 1.5L 手动时尚型,5.50万,9.29万,2018年,1.8万公里,2017款,1.5L
奔驰GLC级 2017款 GLC 300 4MATIC 动感型,33.80万,52.97万,2017年,5.3万公里,2017款,2.0T
大众 途观L 2018款 330TSI 自动两驱豪华版,18.00万,28.20万,2018年,4.3万公里,2018款,2.0T
宝马3系 2013款 320Li 豪华设计套装,15.65万,43.31万,2013年,5.3万公里,2013款,2.0T
MG 锐腾 2019款 20T 自动豪华氙灯版,7.50万,,2018年,2.0万公里,2019款,1.5T
北京BJ40 2014款 2.4L 手动穿越版,6.38万,15.93万,2015年,6.7万公里,2014款,2.4L
雪佛兰 迈锐宝 2013款 2.4L 自动豪华版,7.00万,21.70万,2013年,10.0万公里,2013款,2.4L
领克01 2017款 2.0T 两驱型Pro版,14.00万,19.08万,2018年,1.7万公里,2017款,2.0T
福特 福睿斯 2015款 1.5L 自动时尚型,5.70万,13.00万,2016年,6.1万公里,2015款,1.5L
别克 君威 2014款 1.6T 时尚技术型,8.50万,21.70万,2014年,2.9万公里,2014款,1.6T
奔驰E级 2019款 改款 E 300 L 运动时尚型,40.50万,50.56万,2019年,1.0万公里,2019款,2.0T
比亚迪 宋 2016款 2.0TID 自动豪华型,6.18万,13.77万,2016年,2.7万公里,2016款,2.0T
宝马3系 2017款 320Li 时尚型,21.80万,35.38万,2017年,1.1万公里,2017款,2.0T
雪佛兰 科鲁泽 2019款 RS 330T 自动畅快版 国VI,7.28万,12.47万,2019年,1.3万公里,2019款,1.3T
大众 朗逸 2017款 1.6L 手动舒适版,7.46万,13.23万,2017年,2.1万公里,2017款,1.6L
大众 速腾 2015款 1.6L 手动舒适型,6.80万,15.07万,2017年,9.6万公里,2015款,1.6L
大众 速腾 2019款 200TSI DSG舒适型 国V,13.20万,16.27万,2019年,0.3万公里,2019款,1.2T
北汽绅宝 绅宝X35 2016款 1.5L 自动豪华版,4.00万,9.20万,2017年,4.7万公里,2016款,1.5L
众泰 大迈X7 2017款 1.5T 手动精英型,5.00万,9.76万,2017年,3.9万公里,2017款,1.5T
凯迪拉克XTS 2014款 28T 舒适型,13.88万,37.98万,2014年,8.6万公里,2014款,2.0T
大众 宝来 2017款 1.6L 手动舒适型,7.20万,13.00万,2017年,4.6万公里,2017款,1.6L
长安 睿骋 2016款 1.8T 自动智享版尊悦型,7.09万,13.11万,2017年,3.1万公里,2016款,1.8T
本田 杰德 2017款 210TURBO CVT豪华版 5座,12.50万,18.01万,2017年,2.8万公里,2017款,1.5T
丰田 锐志 2013款 2.5V 菁锐版,15.80万,24.94万,2015年,6.7万公里,2013款,2.5L
马自达 昂克赛拉 2016款 三厢 1.5L 自动豪华型,9.50万,15.08万,2016年,4.6万公里,2016款,1.5L
哈弗H6 2013款 运动版 1.5T 手动两驱精英型,4.60万,13.44万,2015年,9.2万公里,2013款,1.5T
长安CS75 2016款 1.8T 自动精英型 国V,7.30万,12.68万,2016年,3.6万公里,2016款,1.8T
长安CS55 2017款 1.5T 手动炫色型,6.20万,9.76万,2017年,4.2万公里,2017款,1.5T
奥迪Q5 2017款 Plus 40 TFSI 进取型,27.90万,43.38万,2017年,1.4万公里,2017款,2.0T
传祺GS5 2014款 2.0L 自动两驱周年增值版,6.35万,17.02万,2015年,5.0万公里,2014款,2.0L
福特 福睿斯 2015款 1.5L 手动舒适型,5.60万,10.51万,2016年,2.7万公里,2015款,1.5L
路虎 发现神行 2018款 240PS SE版,22.92万,43.94万,2018年,5.3万公里,2018款,2.0T
比亚迪 秦 2014款 1.5T 酷黑骑士旗舰型,5.29万,22.77万,2014年,9.3万公里,2014款,1.5T
别克 君越 2013款 2.4L SIDI精英舒适型,12.20万,27.78万,2016年,6.4万公里,2013款,2.4L
斯柯达 柯珞克 2018款 TSI280 旗舰版 国V,11.50万,19.09万,2018年,2.2万公里,2018款,1.4T
凯迪拉克ATS-L 2017款 28T 时尚型,17.50万,31.89万,2017年,3.6万公里,2017款,2.0T
大众 凌渡 2017款 280TSI DSG舒适版,13.50万,19.96万,2017年,1.7万公里,2017款,1.4T
大众 速腾 2017款 230TSI 手动舒适型,8.66万,15.93万,2017年,4.3万公里,2017款,1.4T
别克 君威 2017款 30H 豪华型,15.60万,26.03万,2018年,2.7万公里,2017款,1.8L
日产 轩逸 2018款 1.6XV CVT尊享版,9.90万,14.96万,2018年,6.4万公里,2018款,1.6L
东风风行 景逸X5 2016款 1.6L 手动尊享型,4.30万,9.43万,2016年,3.1万公里,2016款,1.6L
大众 速腾 2017款 230TSI 自动舒适型,10.00万,17.45万,2017年,4.6万公里,2017款,1.4T
别克 英朗 2017款 15N 自动豪华型,6.80万,14.86万,2017年,4.9万公里,2017款,1.5L
荣威RX5 2016款 30T 两驱自动互联网智享版,9.50万,18.11万,2016年,4.7万公里,2016款,2.0T
本田 飞度 2016款 1.5L LX CVT舒适型,7.20万,8.88万,2017年,4.7万公里,2016款,1.5L
雪佛兰 科沃兹 2019款 320 手动欣悦版,5.20万,9.87万,2018年,2.8万公里,2019款,1.5L
宝骏510 2017款 1.5L 手动豪华型,4.30万,7.58万,2017年,2.7万公里,2017款,1.5L
宝马X1 2012款 sDrive18i 豪华型,9.80万,34.63万,2012年,10.5万公里,2012款,2.0L
起亚K4 2014款 1.8L 自动GLS,7.88万,16.15万,2015年,4.1万公里,2014款,1.8L
大众 高尔夫 2012款 1.6 自动舒适型,6.50万,14.42万,2014年,6.8万公里,2012款,1.6L
日产 奇骏 2014款 2.0L CVT舒适版 2WD,12.68万,21.36万,2016年,5.6万公里,2014款,2.0L
别克 凯越 2011款 1.6LE-AT,2.80万,12.80万,2012年,11.3万公里,2011款,1.6L
奔驰A级 2020款 改款2 A 180 L 运动轿车,21.68万,25.27万,2020年,0.4万公里,2020款,1.3T
丰田 皇冠 2015款 2.0T 先锋版,20.20万,28.74万,2017年,3.5万公里,2015款,2.0T
大众 途观 2012款 1.8TSI 自动两驱风尚版,9.50万,25.38万,2013年,7.7万公里,2012款,1.8T
别克GL8 2014款 2.4L 经典版,8.80万,22.69万,2014年,7.3万公里,2014款,2.4L
雷克萨斯CT 2017款 CT200h 舒适版 单色 国VI,21.30万,27.35万,2019年,0.2万公里,2017款,1.8L
福特 嘉年华 2013款 三厢 1.5L 手动风尚型,3.88万,8.67万,2015年,12.0万公里,2013款,1.5L
福特 福克斯 2017款 两厢 1.6L 自动舒适型智行版,6.30万,13.76万,2017年,6.2万公里,2017款,1.6L
本田 飞度 2016款 1.5L LX CVT舒适型,6.83万,8.88万,2017年,4.1万公里,2016款,1.5L
本田XR-V 2017款 1.8L EXi CVT舒适版,12.38万,16.26万,2018年,3.4万公里,2017款,1.8L
MG6 2013款 掀背 1.8L 自动驾值版,4.28万,15.07万,2014年,7.4万公里,2013款,1.8L
雪佛兰 科帕奇 2012款 2.4L 两驱城市版 5座,6.60万,23.86万,2013年,10.1万公里,2012款,2.4L
大众 宝来 2019款 改款 1.5L 自动时尚型 国VI,8.90万,13.24万,2019年,3.3万公里,2019款,1.5L
宝马5系 2014款 520Li 典雅型,23.50万,47.28万,2014年,8.9万公里,2014款,2.0T
哈弗H6 2016款 升级版 1.5T 手动两驱都市型,5.80万,10.29万,2016年,6.2万公里,2016款,1.5T
标致307 2010款 三厢 1.6L 自动舒适版,2.60万,11.48万,2009年,11.5万公里,2010款,1.6L
大众 速腾 2015款 1.6L 自动舒适型,8.00万,16.37万,2016年,8.6万公里,2015款,1.6L
别克 英朗 2016款 15N 自动精英型,6.00万,13.77万,2016年,6.8万公里,2016款,1.5L
大众 桑塔纳 2013款 1.6L 自动舒适版,4.98万,12.35万,2014年,6.5万公里,2013款,1.6L
宝骏730 2014款 1.5L 手动标准型 5座,3.50万,7.03万,2015年,5.2万公里,2014款,1.5L
丰田 YARiS L 致炫 2016款 改款 1.5E CVT魅动版,7.68万,9.31万,2019年,1.5万公里,2016款,1.5L
宝马3系 2018款 320Li M运动曜夜版,24.40万,39.82万,2018年,5.0万公里,2018款,2.0T
大众 朗行 2015款 1.6L 自动风尚版,7.28万,13.56万,2016年,3.0万公里,2015款,1.6L
哈弗H6 2016款 升级版 1.5T 自动两驱精英型,6.20万,12.35万,2016年,6.3万公里,2016款,1.5T
现代 索纳塔八 2011款 2.0L 自动豪华版,5.60万,20.61万,2012年,12.4万公里,2011款,2.0L
大众 朗境 2016款 230TSI DSG豪华版,9.80万,18.66万,2017年,1.6万公里,2016款,1.4T
奔驰GLC级 2017款 GLC 200 4MATIC 轿跑SUV(进口),36.18万,53.84万,2018年,3.2万公里,2017款,2.0T
别克 君威 2015款 2.0L 精英时尚型,9.50万,21.05万,2016年,6.2万公里,2015款,2.0L
福特 福克斯 2015款 两厢 EcoBoost 125 自动超能风尚型,6.48万,15.17万,2015年,8.9万公里,2015款,1.0T
别克 英朗 2015款 15N 自动进取型,5.58万,13.01万,2015年,4.1万公里,2015款,1.5L
大众 朗逸 2011款 1.6L 自动品雅版,4.05万,14.63万,2012年,11.3万公里,2011款,1.6L
凯迪拉克XTS 2015款 28T 舒适型,15.18万,37.98万,2015年,11.4万公里,2015款,2.0T
宝马5系 2011款 523Li 领先型,18.80万,48.80万,2011年,6.0万公里,2011款,2.5L
雪佛兰 科鲁兹 2015款 1.5L 经典 SE AT,5.50万,11.93万,2016年,10.2万公里,2015款,1.5L
奥迪Q5 2013款 40 TFSI 进取型,17.88万,41.64万,2014年,11.3万公里,2013款,2.0T
丰田 YARiS L 致炫 2016款 改款 1.5G CVT炫动天窗版,7.50万,10.40万,2016年,4.3万公里,2016款,1.5L
奔驰E级 2010款 E 200 CGI 优雅型(进口),13.60万,52.97万,2011年,12.0万公里,2010款,1.8T
现代 领动 2016款 1.6L 自动智炫·精英型,8.70万,13.00万,2019年,3.4万公里,2016款,1.6L
长安商用 长安之星2 2012款 1.0L基本型JL466Q9,1.60万,3.68万,2015年,13.2万公里,2012款,1.0L
宝马5系 2013款 525Li 豪华型,19.68万,53.69万,2012年,13.9万公里,2013款,2.0T
雷诺 科雷嘉 2016款 2.0L 两驱领先版,9.50万,18.97万,2017年,6.1万公里,2016款,2.0L
大众 宝来 2015款 质惠版 1.6L 自动时尚型,6.85万,12.68万,2016年,6.2万公里,2015款,1.6L
雪佛兰 迈锐宝 2013款 2.0L 自动舒适版,6.58万,18.44万,2014年,8.5万公里,2013款,2.0L
哈弗H6 2013款 升级版 1.5T 手动两驱精英型,3.90万,12.57万,2013年,7.0万公里,2013款,1.5T
日产 轩逸 2014款 1.6XV CVT尊享版,8.05万,14.96万,2015年,8.8万公里,2014款,1.6L
开瑞K60 2017款 1.5L 自动豪华型,3.88万,8.12万,2018年,1.4万公里,2017款,1.5L
海马S5 2015款 1.6L 手动豪华型天窗版,3.80万,9.31万,2016年,8.3万公里,2015款,1.6L
别克GL6 2019款 18T 6座互联豪华型 国V,11.70万,16.92万,2019年,4.7万公里,2019款,1.3T
本田 享域 2019款 180TURBO CVT乐享版 国VI,9.98万,13.33万,2020年,1.0万公里,2019款,1.0T
本田 凌派 2015款 1.8L 自动豪华版,7.78万,14.63万,2015年,7.8万公里,2015款,1.8L
别克 君越 2009款 2.4L豪雅版,5.50万,27.13万,2010年,6.5万公里,2009款,2.4L
捷豹F-PACE 2019款 2.0T 两驱都市尊享版,31.38万,51.65万,2019年,4.4万公里,2019款,2.0T
斯柯达 晶锐 2015款 1.4L 手动创行版,4.98万,8.67万,2016年,5.6万公里,2015款,1.4L
现代 朗动 2015款 1.6L 自动时尚型,6.18万,12.57万,2015年,3.7万公里,2015款,1.6L
日产 轩逸 2012款 1.6XL CVT豪华版,6.58万,14.65万,2014年,5.8万公里,2012款,1.6L
本田 锋范经典 2011款 1.5L 自动精英品致版,4.00万,12.68万,2011年,13.2万公里,2011款,1.5L
起亚 狮跑 2009款 2.0L 自动两驱版GLS,3.55万,19.95万,2009年,9.6万公里,2009款,2.0L
大众 高尔夫 2016款 1.4TSI 自动R-Line,11.61万,18.66万,2016年,3.8万公里,2016款,1.4T
吉利 远景 2015款 1.5L 手动精英型,3.98万,6.28万,2015年,4.2万公里,2015款,1.5L
雪佛兰 2015款 赛欧3 1.3L AMT理想版,4.38万,7.48万,2016年,3.3万公里,2015款,1.3L
大众 帕萨特 2015款 1.8TSI 自动尊荣版,11.98万,23.42万,2017年,6.6万公里,2015款,1.8T
标致308 2014款 乐享版 经典 1.6L 自动优尚型,5.00万,12.58万,2016年,6.1万公里,2014款,1.6L
大众 速腾 2011款 1.6L 自动特别版,5.20万,16.91万,2012年,7.3万公里,2011款,1.6L
日产 蓝鸟 2016款 1.6L CVT智酷版,8.30万,14.32万,2017年,5.1万公里,2016款,1.6L
荣威360 2017款 1.5L 自动豪华版,5.28万,9.76万,2017年,6.0万公里,2017款,1.5L
别克GL8 2017款 ES 28T 豪华型 国V,33.80万,40.15万,2019年,4.0万公里,2017款,2.0T
福特 福睿斯 2015款 1.5L 自动时尚型,6.85万,13.00万,2017年,5.7万公里,2015款,1.5L
福特 福睿斯 2017款 改款 1.5L 自动舒适型,6.88万,11.70万,2018年,3.8万公里,2017款,1.5L
路虎 发现神行 2018款 240PS PURE版,22.70万,40.68万,2018年,6.5万公里,2018款,2.0T
本田 哥瑞 2016款 1.5L CVT经典版,6.80万,9.75万,2017年,3.9万公里,2016款,1.5L
大众 朗逸 2015款 1.6L 自动风尚版,6.90万,13.23万,2016年,6.6万公里,2015款,1.6L
别克 凯越 2011款 1.6LE-AT,2.58万,12.80万,2011年,13.1万公里,2011款,1.6L
别克 君威 2014款 2.0L 领先时尚型,7.20万,19.42万,2014年,12.1万公里,2014款,2.0L
大众CC 2012款 2.0TSI 至尊型,11.60万,32.87万,2012年,8.9万公里,2012款,2.0T
大众POLO 2013款 1.6L 自动豪华版,4.91万,13.45万,2012年,8.7万公里,2013款,1.6L
别克 威朗 2016款 两厢 15S 自动领先型,7.80万,16.92万,2017年,3.5万公里,2016款,1.5L
福特 福睿斯 2017款 1.5L 自动舒适型,6.38万,11.70万,2017年,9.0万公里,2017款,1.5L
本田 缤智 2015款 1.5L CVT两驱舒适型,9.30万,14.85万,2016年,5.8万公里,2015款,1.5L
别克 凯越 2013款 1.5L 自动经典型,3.70万,11.06万,2013年,5.6万公里,2013款,1.5L
长安CS35 2015款 1.6L 自动豪华型 国IV,4.78万,10.08万,2015年,6.8万公里,2015款,1.6L
雪佛兰 科沃兹 2018款 320 自动欣享版,6.20万,9.65万,2018年,3.5万公里,2018款,1.5L
奔驰B级 2015款 B 200 时尚型(进口),14.28万,30.61万,2015年,5.4万公里,2015款,1.6T
大众 高尔夫 2015款 1.6L 自动舒适型,8.80万,15.73万,2015年,3.6万公里,2015款,1.6L
福特 致胜 2013款 2.3L 时尚型,6.28万,19.52万,2016年,10.1万公里,2013款,2.3L
奔驰C级 2019款 C 260 运动版,28.20万,33.74万,2019年,2.1万公里,2019款,1.5T
大众POLO 2011款 1.4L 自动致酷版,4.35万,12.91万,2011年,7.6万公里,2011款,1.4L
比亚迪 唐 2018款 2.0T 自动智联尊荣型 7座 国V,13.18万,17.36万,2019年,1.1万公里,2018款,2.0T
宝马5系 2014款 520Li 典雅型,20.58万,47.28万,2013年,10.7万公里,2014款,2.0T
大众 宝来 2018款 1.5L 自动时尚型,7.88万,13.00万,2018年,3.1万公里,2018款,1.5L
别克 英朗 2012款 XT 1.6L 自动时尚版,4.50万,16.27万,2012年,5.5万公里,2012款,1.6L
大众 捷达 2015款 质惠版 1.6L 自动时尚型,6.08万,10.38万,2017年,5.9万公里,2015款,1.6L
日产 逍客 2016款 2.0L CVT精英版,10.58万,16.59万,2017年,7.2万公里,2016款,2.0L
本田 思域 2009款 1.8L 自动舒适版,4.68万,16.26万,2010年,9.2万公里,2009款,1.8L
马自达 昂克赛拉 2016款 三厢 1.5L 自动舒适型,8.20万,13.67万,2016年,4.9万公里,2016款,1.5L
现代 名图 2017款 1.8L 自动智能型GLS 国V,9.48万,16.26万,2017年,4.1万公里,2017款,1.8L
奥迪A4L 2018款 30周年年型 40 TFSI 时尚型,24.50万,37.22万,2018年,6.0万公里,2018款,2.0T
现代ix35 2015款 2.0L 自动两驱舒适型 国V,9.40万,17.78万,2017年,4.5万公里,2015款,2.0L
宝马5系GT 2014款 528i 领先型(进口),31.68万,74.68万,2014年,4.4万公里,2014款,2.0T
奥迪Q3 2013款 35 TFSI quattro 豪华型,14.98万,43.07万,2015年,4.0万公里,2013款,2.0T
起亚K2 2015款 三厢 1.4L MT GLS,4.50万,8.46万,2016年,4.8万公里,2015款,1.4L
本田XR-V 2015款 1.8L EXi  CVT舒适版,11.48万,16.26万,2017年,7.1万公里,2015款,1.8L
大众 桑塔纳 2018款 1.5L 自动风尚版,6.66万,10.63万,2019年,3.4万公里,2018款,1.5L
启辰T90 2017款 2.0L CVT智尚版,8.58万,14.74万,2017年,6.0万公里,2017款,2.0L
宝马3系 2019款 320Li M运动套装,28.20万,36.88万,2019年,2.5万公里,2019款,2.0T
铃木 雨燕 2014款 1.5L 自动时尚型,4.20万,8.12万,2015年,3.7万公里,2014款,1.5L
福特 福克斯 2012款 三厢 1.6L 自动舒适型,4.50万,14.21万,2012年,9.0万公里,2012款,1.6L
马自达CX-5 2013款 2.0L 自动两驱舒适型,9.60万,19.95万,2014年,7.2万公里,2013款,2.0L
丰田 威驰 2017款 1.5L CVT创行版,6.88万,9.53万,2017年,13.3万公里,2017款,1.5L
大众 途观 2012款 2.0TSI 舒适版(进口),11.00万,39.73万,2013年,13.6万公里,2012款,2.0T
现代 伊兰特 2011款 1.6L 手动舒适型,2.45万,9.75万,2011年,8.1万公里,2011款,1.6L
奔驰C级 2018款 C 200 运动版 4MATIC,29.80万,41.99万,2018年,5.4万公里,2018款,2.0T
宝马X1 2014款 sDrive18i 时尚型,15.30万,30.94万,2015年,6.6万公里,2014款,2.0T
起亚K2 2015款 三厢 1.4L AT GLS,4.70万,9.32万,2015年,7.2万公里,2015款,1.4L
宝马X1 2018款 sDrive18Li 尊享型,19.50万,32.98万,2018年,7.5万公里,2018款,1.5T
宝马5系 2013款 525Li 领先型,24.50万,49.89万,2014年,10.3万公里,2013款,2.0T
马自达 昂克赛拉 2016款 三厢 1.5L 自动舒适型,8.00万,13.67万,2016年,7.7万公里,2016款,1.5L
现代 领动 2016款 1.6L 自动智炫·豪华型,8.58万,14.52万,2018年,5.1万公里,2016款,1.6L
现代 全新胜达 2013款 2.4L 自动两驱智能型,10.30万,27.12万,2015年,10.1万公里,2013款,2.4L
斯柯达 明锐 2010款 1.4TSI DSG逸俊版,4.20万,17.48万,2010年,14.2万公里,2010款,1.4T
奥迪Q5 2015款 40 TFSI 技术型,20.99万,46.85万,2015年,10.8万公里,2015款,2.0T
现代ix35 2013款 2.0L 自动两驱智能型GLS 国IV,8.67万,21.36万,2015年,5.7万公里,2013款,2.0L
大众 朗逸 2013款 1.6L 手动风尚版,4.38万,12.25万,2013年,13.3万公里,2013款,1.6L
日产 逍客 2016款 2.0L CVT豪华版,10.80万,18.21万,2016年,5.4万公里,2016款,2.0L
起亚K5 2012款 2.0L 自动GLS,6.98万,19.41万,2013年,8.3万公里,2012款,2.0L
哈弗H2 2014款 1.5T 手动两驱精英版,4.80万,11.27万,2015年,2.8万公里,2014款,1.5T
别克 君威 2015款 2.0L 领先时尚型,8.88万,19.42万,2017年,10.4万公里,2015款,2.0L
日产 逍客 2012款 2.0XL 火 CVT 2WD,6.90万,17.89万,2013年,6.9万公里,2012款,2.0L
别克 凯越 2008款 1.6LE-AT,2.48万,12.80万,2009年,7.6万公里,2008款,1.6L
丰田 雷凌 2014款 1.6G CVT精英版,7.38万,13.55万,2015年,9.2万公里,2014款,1.6L
东风风行 景逸X5 2016款 1.6L 手动尊享型,4.28万,9.43万,2017年,4.6万公里,2016款,1.6L
丰田 凯美瑞 2016款 2.5G 十周年纪念豪华导航版,16.50万,23.86万,2017年,4.8万公里,2016款,2.5L
大众 高尔夫·嘉旅 2016款 230TSI 自动豪华型,10.38万,19.53万,2016年,4.5万公里,2016款,1.4T
福特 蒙迪欧 2013款 2.0L GTDi200时尚型,11.00万,22.01万,2016年,13.4万公里,2013款,2.0T
斯柯达 晶锐 2011款 1.4L 手动晶致版,2.18万,8.56万,2010年,10.3万公里,2011款,1.4L
中华V3 2016款 1.5L 自动智能型,4.90万,9.63万,2017年,3.6万公里,2016款,1.5L
捷豹XFL 2017款 XFL 2.0T 200PS 风华版,21.38万,42.12万,2017年,6.3万公里,2017款,2.0T
现代 名图 2017款 1.8L 自动智能型GLS 国V,9.88万,16.26万,2017年,5.0万公里,2017款,1.8L
雪佛兰 迈锐宝 2014款 2.4L 自动豪华版,7.98万,22.24万,2016年,5.1万公里,2014款,2.4L
哈弗H6 2016款 升级版 1.5T 手动两驱都市型,5.30万,10.29万,2017年,6.6万公里,2016款,1.5T
雪佛兰 乐风 2010款 1.4AT风尚版,1.85万,9.76万,2010年,8.2万公里,2010款,1.4L
别克GL8 2014款 2.4L 经典版,8.90万,22.69万,2015年,14.3万公里,2014款,2.4L
凯迪拉克ATS-L 2017款 28T 技术型,17.20万,29.72万,2018年,2.4万公里,2017款,2.0T
雪佛兰 科沃兹 2019款 320 自动欣享天窗版,6.50万,9.87万,2019年,4.4万公里,2019款,1.5L
大众 高尔夫 2020款 280TSI DSG舒适型,13.38万,16.63万,2020年,0.6万公里,2020款,1.4T
别克 君威 2015款 1.6T 领先技术型,9.90万,20.61万,2017年,6.1万公里,2015款,1.6T
丰田 威驰 2017款 1.5L CVT创行版,6.20万,9.53万,2017年,1.9万公里,2017款,1.5L
斯柯达Yeti 2014款 1.4TSI DSG野驱版,7.15万,23.86万,2014年,4.3万公里,2014款,1.4T
起亚K4 2015款 1.8L 自动GLS Special,7.50万,16.26万,2015年,7.2万公里,2015款,1.8L
福特 锐界 2015款 2.0T GTDi 两驱豪锐型,17.38万,32.54万,2016年,5.3万公里,2015款,2.0T
日产 轩逸 2016款 1.6XL  CVT尊享版,8.18万,14.96万,2017年,6.1万公里,2016款,1.6L
Jeep 自由光 2016款 2.4L 专业版智能包,11.88万,28.20万,2016年,6.3万公里,2016款,2.4L
福特 福克斯 2012款 三厢 1.6L 自动风尚型,5.60万,15.62万,2014年,7.7万公里,2012款,1.6L
大众 途观 2013款 1.8TSI 自动两驱豪华型,10.80万,28.20万,2014年,9.7万公里,2013款,1.8T
斯柯达 明锐 2015款 1.6L 手动逸俊版,5.80万,15.19万,2015年,7.2万公里,2015款,1.6L
大众 途观 2015款 1.8TSI 自动两驱豪华型,12.68万,28.20万,2015年,6.0万公里,2015款,1.8T
日产 阳光 2015款 1.5XE 手动舒适版,4.68万,8.66万,2017年,6.4万公里,2015款,1.5L
本田 竞瑞 2017款 1.5L CVT经典版,6.90万,10.84万,2017年,2.5万公里,2017款,1.5L
福特 福睿斯 2017款 幸福版 1.5L 自动时尚型,6.90万,13.28万,2017年,4.2万公里,2017款,1.5L
别克 君威 2015款 2.0L 领先时尚型,8.08万,19.42万,2016年,8.0万公里,2015款,2.0L
福特 福克斯 2012款 三厢 1.6L 自动风尚型,4.88万,15.62万,2012年,9.4万公里,2012款,1.6L
起亚K2 2017款 三厢 1.4L MT GLS,4.70万,8.46万,2017年,2.1万公里,2017款,1.4L
大众POLO 2016款 1.4L 手动风尚型,4.75万,8.24万,2016年,8.1万公里,2016款,1.4L
现代 名图 2014款 1.8L 自动智能型GLS,7.60万,16.26万,2014年,9.7万公里,2014款,1.8L
捷豹XF 2016款 XF 2.0T 两驱R-Sport运动版,25.00万,61.65万,2016年,6.3万公里,2016款,2.0T
丰田 YARiS L 致享 2017款 1.5E CVT魅动版,7.15万,9.53万,2018年,5.8万公里,2017款,1.5L
本田XR-V 2015款 1.5L LXi CVT经典版,8.83万,14.96万,2016年,4.4万公里,2015款,1.5L
起亚K3 2013款 1.6L 手动GL,4.00万,11.16万,2014年,8.9万公里,2013款,1.6L
奔驰GLK级 2014款 GLK 200 标准型,22.68万,41.03万,2015年,5.2万公里,2014款,2.0T
本田 锋范经典 2011款 1.5L 自动精英品致版,4.38万,12.68万,2011年,10.4万公里,2011款,1.5L
宝骏310 2016款 1.2L 手动舒适型,3.10万,4.32万,2017年,4.7万公里,2016款,1.2L
雪佛兰 科鲁兹 2013款 掀背 1.6L 自动豪华型,5.50万,14.53万,2015年,6.2万公里,2013款,1.6L
众泰T600 2015款 2.0T 自动尊贵型,5.30万,13.66万,2016年,6.5万公里,2015款,2.0T
五菱宏光 2015款 1.5L S基本型 国V,3.28万,5.68万,2016年,4.2万公里,2015款,1.5L
日产 奇骏 2014款 2.0L CVT舒适版 2WD,12.80万,21.36万,2015年,6.8万公里,2014款,2.0L
丰田 威驰 2008款 1.6L GL-i 特别纪念版 AT,3.75万,11.71万,2010年,18.1万公里,2008款,1.6L
雪佛兰 科沃兹 2016款 1.5L 自动欣享版,5.28万,9.65万,2017年,3.9万公里,2016款,1.5L
别克 英朗 2014款 XT 1.6L 自动时尚版,5.36万,16.27万,2014年,6.3万公里,2014款,1.6L
荣威eRX5 2017款 eRX5 50T 混动互联尊荣旗舰版,10.99万,31.03万,2017年,8.0万公里,2017款,1.5T
宝马X5 宝马 X5  X5 2.0 自动 平行进口,46.80万,,2017年,7.1万公里,无,2.0L
丰田 卡罗拉 2016款 双擎 1.8L CVT精英版,8.98万,16.26万,2016年,6.3万公里,2016款,1.8L
奇瑞 瑞虎3X 2017款 1.5L 自动舒适版,4.48万,6.83万,2017年,1.8万公里,2017款,1.5L
现代 名图 2014款 1.8L 自动尊贵型DLX,7.30万,17.35万,2014年,9.8万公里,2014款,1.8L
现代 悦纳 2016款 1.4L 自动炫酷版GLS,6.50万,9.53万,2019年,2.0万公里,2016款,1.4L
铃木 奥拓 2013款 1.0L 自动豪华型,3.18万,6.50万,2013年,8.9万公里,2013款,1.0L
东南DX7 2015款 1.5T 手动豪华型,5.88万,13.01万,2015年,8.9万公里,2015款,1.5T
福特 福睿斯 2017款 幸福版 1.5L 自动时尚型,6.80万,13.28万,2017年,3.9万公里,2017款,1.5L
丰田 威驰FS 2017款 1.5L CVT锋驰版,7.18万,9.31万,2018年,3.6万公里,2017款,1.5L
雷克萨斯NX 2015款 200t 全驱 锋尚版,26.78万,43.20万,2017年,4.3万公里,2015款,2.0T
北汽幻速S6 2017款 1.5T CVT乐享型,5.15万,11.59万,2017年,4.2万公里,2017款,1.5T
雪佛兰 乐风 2010款 1.4MT风度版,1.65万,8.89万,2011年,9.7万公里,2010款,1.4L
别克 君越 2016款 20T 豪华型,14.18万,28.20万,2017年,4.8万公里,2016款,1.5T
大众 朗逸 2018款 280TSI DSG舒适版 国V,10.50万,15.95万,2019年,3.0万公里,2018款,1.4T
大众 朗逸 2017款 1.6L 自动风尚版,8.63万,12.91万,2018年,1.6万公里,2017款,1.6L
哈弗H1 2017款 红标 1.5L AMT豪华型,4.98万,7.37万,2017年,3.8万公里,2017款,1.5L
日产 骊威 2010款 劲锐版 1.6L 手动标准型,3.58万,10.83万,2012年,7.1万公里,2010款,1.6L
丰田 YARiS L 致炫 2017款 1.5E CVT劲速升级版,6.92万,9.69万,2018年,3.5万公里,2017款,1.5L
别克 君威 2015款 2.0L 精英时尚型,9.98万,21.05万,2017年,5.2万公里,2015款,2.0L
本田 奥德赛 2015款 改款 2.4L 智享版,20.90万,28.96万,2017年,5.9万公里,2015款,2.4L
传祺GA5新能源 2016款 PHEV 精英版,4.55万,21.63万,2017年,4.0万公里,2016款,1.0L
别克 威朗 2018款 三厢 15S 自动领先型,7.80万,16.81万,2018年,2.5万公里,2018款,1.5L
